     2    0.107714483583943047051434405148029327392578E+04    0.455553285285977133112211845400452148169279E-01    0.323275698061171468111751892138272523880005E+01
     3    0.101734286591899581253528594970703125000000E+04    0.708191686284735805179124668029544409364462E-01    0.392517858660415575045021796540822833776474E+01
     4    0.958409081085729212645674124360084533691406E+03    0.757747546286374612511949067084060516208410E-01    0.395064520044733358261623834550846368074417E+01
     5    0.912758807514600675858673639595508575439453E+03    0.637822140132342646490215543053636793047190E-01    0.359866644512385525089825932809617370367050E+01
     6    0.879985260533698919971357099711894989013672E+03    0.446481439398390758666046451708098175004125E-01    0.308468808493750179522407961485441774129868E+01
     7    0.857799512569113176141399890184402465820312E+03    0.271027807496775630102803233967279084026814E-01    0.254267299246600408935137238586321473121643E+01
     8    0.843413005435270861198659986257553100585938E+03    0.153640808182674334231299084763122664298862E-01    0.205125422104904853171092327102087438106537E+01
     9    0.835114225181766755667922552675008773803711E+03    0.943779401985964626342617833643089397810400E-02    0.164660204454410474816938858566572889685631E+01
    10    0.831508035940177137490536551922559738159180E+03    0.721235971108661298722974919428452267311513E-02    0.134501028501151531635571245715254917740822E+01
    11    0.831139847290120883371855597943067550659180E+03    0.646556116480997630779903317943535512313247E-02    0.114822996633567897539762725500622764229774E+01
    12    0.834196403373556336191541049629449844360352E+03    0.586146897682540864160660731840835069306195E-02    0.104930883827524579210432875697733834385872E+01
    13    0.839406660676589353897725231945514678955078E+03    0.521039631652256505361942018339505011681467E-02    0.102276494386317073903569507820066064596176E+01
    14    0.845425215404405889785266481339931488037109E+03    0.459648724839081986026645409992852364666760E-02    0.104133836557115855292465766979148611426353E+01
    15    0.852646538488685564516345039010047912597656E+03    0.420713361241061879758351693681106553412974E-02    0.108887909985896835785013081476790830492973E+01
    16    0.861693686459867080884578172117471694946289E+03    0.419048514090104590873453460631026246119291E-02    0.115263993417235299787648727942723780870438E+01
    17    0.872364183516931802842009346932172775268555E+03    0.443447536004464275966041597598632506560534E-02    0.122237490591299091668986420700093731284142E+01
    18    0.884229350778389743936713784933090209960938E+03    0.478916943884977967110794239147253392729908E-02    0.128945149883464638129737522831419482827187E+01
    19    0.896781229372324332871357910335063934326172E+03    0.521337532376466971512085635254152293782681E-02    0.134918973214350490508195434813387691974640E+01
    20    0.909606624308325649508333299309015274047852E+03    0.571047018404932139878926733445041463710368E-02    0.139965513558152587769711772125447168946266E+01
    21    0.922750676112442192788876127451658248901367E+03    0.635336530277106487085703179218398872762918E-02    0.144594274558134827657340792939066886901855E+01
    22    0.936339083214465745186316780745983123779297E+03    0.721500675775945104345465708206575072836131E-02    0.149365967123824505691231934179086238145828E+01
    23    0.950361440142709511746943462640047073364258E+03    0.829894569208557142392379546436131931841373E-02    0.154343180560734549722212705091806128621101E+01
    24    0.964767186852842542066355235874652862548828E+03    0.959268416876247163871394008083370863460004E-02    0.159488885141359260089188865094911307096481E+01
    25    0.979481248911432771819818299263715744018555E+03    0.110889228653294150822583574722557386849076E-01    0.164865696610132816957161594473291188478470E+01
    26    0.994448345977721828603534959256649017333984E+03    0.127790704222204409140628555974217306356877E-01    0.170490242305200068173576255503576248884201E+01
    27    0.100971688847075017747556557878851890563965E+04    0.146441687169224336872996872216390329413116E-01    0.176095550467608852329703950090333819389343E+01
    28    0.102532951439882003796810749918222427368164E+04    0.166703566417656552645087941755264182575047E-01    0.181365572148798848139961137349018827080727E+01
    29    0.104120208136748510696634184569120407104492E+04    0.188745279114010261478640018140140455216169E-01    0.186071548738874925632558188226539641618729E+01
    30    0.105725463452424264687579125165939331054688E+04    0.212741789651060518584468894687233841978014E-01    0.190025236345385506453453672293107956647873E+01
    31    0.107355074958711202270933426916599273681641E+04    0.238584623183438863935901252943949657492340E-01    0.193113159606988515903935876849573105573654E+01
    32    0.109016522072732459491817280650138854980469E+04    0.266160559176430028260895710445765871554613E-01    0.195221391385193920875451567553682252764702E+01
    33    0.110707418535843771678628399968147277832031E+04    0.295620833576074777682141103696267236955464E-01    0.196159428901809396172950528125511482357979E+01
    34    0.112421360137468263928894884884357452392578E+04    0.327192577970806253162550092383753508329391E-01    0.195830238928040478718628492060815915465355E+01
    35    0.114145736535065998396021313965320587158203E+04    0.361142050037870782075444253678142558783293E-01    0.194587242072385357971597841242328286170959E+01
    36    0.115872800347385305030911695212125778198242E+04    0.397658363297718475681818972589098848402500E-01    0.192757698534273869128696787811350077390671E+01
    37    0.117620462170290556969121098518371582031250E+04    0.436582928554798688214333424184587784111500E-01    0.190113773039569333711540366493863984942436E+01
    38    0.119406760223851529190142173320055007934570E+04    0.477753187081923838541719362638104939833283E-01    0.186369403418997081622876521578291431069374E+01
    39    0.121224585247843538127199281007051467895508E+04    0.521338404741356620242243025131756439805031E-01    0.181560715396298144597153623180929571390152E+01
    40    0.123060541111968223049188964068889617919922E+04    0.567590803542722607821779945425078039988875E-01    0.175804381668467257782140222843736410140991E+01
    41    0.124904052945287867260049097239971160888672E+04    0.616706120560259474228104181747767142951488E-01    0.169177821119008053862842189118964597582817E+01
    42    0.126755830914307398415985517203807830810547E+04    0.668654153126654604566425632583559490740299E-01    0.161601437377459444810767763556214049458504E+01
    43    0.128619406444892365470877848565578460693359E+04    0.723348213639208453828999267898325342684984E-01    0.152956380259869129112360042199725285172462E+01
    44    0.130498310962908271903870627284049987792969E+04    0.780701614495220852507628706007380969822407E-01    0.143123799582284871867443598603131249547005E+01
    45    0.132396075894220712143578566610813140869141E+04    0.840627668091991492316239487081475090235472E-01    0.131984845160754349358001036307541653513908E+01
    46    0.134315468122610559476015623658895492553711E+04    0.903076329522931875448676919404533691704273E-01    0.119451060150136756377037272613961249589920E+01
    47    0.136256196363520280101511161774396896362305E+04    0.968144124665897137793635351954435463994741E-01    0.105555561060536873263515644794097170233727E+01
    48    0.138217204790307596340426243841648101806641E+04    0.103596422209485380938609466738853370770812E+00    0.903618577408710210718822963826823979616165E+00
    49    0.140197437576330389674694743007421493530273E+04    0.110666979038376855903891282650874927639961E+00    0.739334600400554431409716471534920856356621E+00
