     2    0.10745E+04    0.45401E-01    0.32331E+01
     3    0.10153E+04    0.70704E-01    0.39257E+01
     4    0.95674E+03    0.75801E-01    0.39522E+01
     5    0.91137E+03    0.63945E-01    0.36017E+01
     6    0.87879E+03    0.44867E-01    0.30890E+01
     7    0.85674E+03    0.27294E-01    0.25478E+01
     8    0.84245E+03    0.15486E-01    0.20565E+01
     9    0.83422E+03    0.94951E-02    0.16514E+01
    10    0.83066E+03    0.72354E-02    0.13491E+01
    11    0.83033E+03    0.64823E-02    0.11513E+01
    12    0.83342E+03    0.58834E-02    0.10514E+01
    13    0.83865E+03    0.52372E-02    0.10239E+01
    14    0.84467E+03    0.46207E-02    0.10419E+01
    15    0.85190E+03    0.42251E-02    0.10892E+01
    16    0.86094E+03    0.42039E-02    0.11531E+01
    17    0.87160E+03    0.44466E-02    0.12232E+01
    18    0.88346E+03    0.48033E-02    0.12906E+01
    19    0.89600E+03    0.52301E-02    0.13506E+01
    20    0.90880E+03    0.57277E-02    0.14013E+01
    21    0.92193E+03    0.63690E-02    0.14478E+01
    22    0.93549E+03    0.72275E-02    0.14956E+01
    23    0.94948E+03    0.83087E-02    0.15454E+01
    24    0.96386E+03    0.96014E-02    0.15966E+01
    25    0.97854E+03    0.11098E-01    0.16501E+01
    26    0.99348E+03    0.12789E-01    0.17062E+01
    27    0.10087E+04    0.14655E-01    0.17623E+01
    28    0.10243E+04    0.16683E-01    0.18150E+01
    29    0.10401E+04    0.18890E-01    0.18622E+01
    30    0.10561E+04    0.21294E-01    0.19021E+01
    31    0.10724E+04    0.23882E-01    0.19332E+01
    32    0.10889E+04    0.26642E-01    0.19545E+01
    33    0.11058E+04    0.29591E-01    0.19640E+01
    34    0.11229E+04    0.32752E-01    0.19610E+01
    35    0.11401E+04    0.36151E-01    0.19489E+01
    36    0.11573E+04    0.39806E-01    0.19309E+01
    37    0.11747E+04    0.43701E-01    0.19046E+01
    38    0.11925E+04    0.47821E-01    0.18671E+01
    39    0.12106E+04    0.52183E-01    0.18189E+01
    40    0.12289E+04    0.56812E-01    0.17612E+01
    41    0.12473E+04    0.61729E-01    0.16951E+01
    42    0.12658E+04    0.66929E-01    0.16197E+01
    43    0.12843E+04    0.72404E-01    0.15337E+01
    44    0.13031E+04    0.78145E-01    0.14358E+01
    45    0.13220E+04    0.84143E-01    0.13248E+01
    46    0.13411E+04    0.90394E-01    0.11996E+01
    47    0.13604E+04    0.96907E-01    0.10608E+01
    48    0.13800E+04    0.10370E+00    0.90891E+00
    49    0.13997E+04    0.11077E+00    0.74469E+00
    50    0.14196E+04    0.11815E+00    0.56882E+00
    51    0.14397E+04    0.12584E+00    0.38176E+00
    52    0.14600E+04    0.13384E+00    0.18307E+00
    53    0.14804E+04    0.14214E+00   -0.27943E-01
    54    0.15011E+04    0.15074E+00   -0.25195E+00
    55    0.15219E+04    0.15963E+00   -0.48963E+00
    56    0.15429E+04    0.16879E+00   -0.74151E+00
    57    0.15642E+04    0.17824E+00   -0.10075E+01
    58    0.15856E+04    0.18798E+00   -0.12875E+01
    59    0.16072E+04    0.19800E+00   -0.15812E+01
    60    0.16291E+04    0.20831E+00   -0.18884E+01
    61    0.16511E+04    0.21890E+00   -0.22090E+01
    62    0.16734E+04    0.22978E+00   -0.25429E+01
    63    0.16959E+04    0.24094E+00   -0.28900E+01
    64    0.17185E+04    0.25237E+00   -0.32505E+01
    65    0.17414E+04    0.26406E+00   -0.36242E+01
    66    0.17646E+04    0.27600E+00   -0.40110E+01
    67    0.17879E+04    0.28820E+00   -0.44107E+01
    68    0.18115E+04    0.30064E+00   -0.48228E+01
    69    0.18352E+04    0.31333E+00   -0.52467E+01
    70    0.18592E+04    0.32624E+00   -0.56821E+01
    71    0.18834E+04    0.33937E+00   -0.61287E+01
    72    0.19079E+04    0.35273E+00   -0.65865E+01
    73    0.19326E+04    0.36629E+00   -0.70559E+01
    74    0.19575E+04    0.38004E+00   -0.75371E+01
    75    0.19827E+04    0.39400E+00   -0.80305E+01
    76    0.20083E+04    0.40813E+00   -0.85361E+01
    77    0.20341E+04    0.42243E+00   -0.90535E+01
    78    0.20601E+04    0.43689E+00   -0.95820E+01
    79    0.20864E+04    0.45150E+00   -0.10121E+02
    80    0.21130E+04    0.46625E+00   -0.10670E+02
    81    0.21397E+04    0.48112E+00   -0.11229E+02
    82    0.21667E+04    0.49610E+00   -0.11796E+02
    83    0.21939E+04    0.51118E+00   -0.12372E+02
    84    0.22214E+04    0.52635E+00   -0.12956E+02
    85    0.22491E+04    0.54160E+00   -0.13547E+02
    86    0.22770E+04    0.55692E+00   -0.14146E+02
    87    0.23052E+04    0.57230E+00   -0.14751E+02
    88    0.23336E+04    0.58772E+00   -0.15363E+02
    89    0.23623E+04    0.60317E+00   -0.15981E+02
    90    0.23912E+04    0.61863E+00   -0.16606E+02
    91    0.24203E+04    0.63409E+00   -0.17236E+02
    92    0.24496E+04    0.64953E+00   -0.17871E+02
    93    0.24791E+04    0.66495E+00   -0.18512E+02
    94    0.25088E+04    0.68032E+00   -0.19156E+02
    95    0.25388E+04    0.69563E+00   -0.19805E+02
    96    0.25689E+04    0.71087E+00   -0.20456E+02
    97    0.25992E+04    0.72603E+00   -0.21110E+02
    98    0.26298E+04    0.74108E+00   -0.21767E+02
    99    0.26605E+04    0.75602E+00   -0.22425E+02
   100    0.26915E+04    0.77083E+00   -0.23085E+02
   101    0.27226E+04    0.78549E+00   -0.23745E+02
   102    0.27540E+04    0.80000E+00   -0.24406E+02
